iter	RMSE
0	0.2702871333
1	0.2544546538
2	0.2408223149
3	0.2286960343
4	0.218569264
5	0.2097925639
6	0.2026013579
7	0.1963168431
8	0.1908308912
9	0.1863664422
10	0.1824548007
11	0.1790967676
12	0.1761726342
13	0.173745111
14	0.1717817346
15	0.1700345358
16	0.1684832912
17	0.1672974747
18	0.1662879838
19	0.1653805303
20	0.1645783376
21	0.1638291606
22	0.1632504491
23	0.1626833786
24	0.1621599318
25	0.161735456
26	0.1613963775
27	0.1610297572
28	0.1606791232
29	0.1603313583
30	0.160068422
31	0.1597368636
32	0.1594882454
33	0.1592687405
34	0.1589771965
35	0.1587138674
36	0.1585228433
37	0.1582203744
38	0.1579566936
39	0.1577705765
40	0.1575437965
41	0.157355204
42	0.1571767782
43	0.1569650854
44	0.1568303671
45	0.1566682013
46	0.1564887562
47	0.1562501455
48	0.156083667
49	0.1559338476
50	0.1558147139
51	0.1557256702
52	0.155622436
53	0.1553965382
54	0.1553302461
55	0.1552081498
56	0.1551005354
57	0.1549420214
58	0.1547922988
59	0.1546486795
60	0.154465729
61	0.1543717145
62	0.1542836551
63	0.1541505959
64	0.1540113893
65	0.1539287481
66	0.1537755958
67	0.1536809059
68	0.1535661131
69	0.1534365229
70	0.153287474
71	0.1532002679
72	0.1531154392
73	0.1530169346
74	0.1529028596
75	0.152813018
76	0.1526602356
77	0.1525249701
78	0.1524415083
79	0.1523250684
80	0.1522196444
81	0.1521050218
82	0.1519853148
83	0.1519111849
84	0.1518321183
85	0.1517249191
86	0.1516185742
87	0.1514795956
88	0.1513683745
89	0.1512706821
90	0.1511719148
91	0.1510542206
92	0.1509322709
93	0.1508631169
94	0.15079409
95	0.150668561
96	0.1505698347
97	0.1504828084
98	0.1503996075
99	0.1502701104
100	0.1502018604
101	0.1501468705
102	0.1500385316
103	0.1499501412
104	0.1497979835
105	0.1497228489
106	0.1496014755
107	0.1495065557
108	0.1494310068
109	0.1493494956
110	0.1492312368
111	0.1491056441
112	0.1489797959
113	0.1487982046
114	0.1487150057
115	0.1486307643
116	0.1485257047
117	0.1484321654
118	0.1483333581
119	0.1482595304
120	0.148160032
121	0.1480682046
122	0.147974025
123	0.1478929406
124	0.1477947298
125	0.1476959218
126	0.1476172861
127	0.1475472112
128	0.1473781671
129	0.147274574
130	0.1472094441
131	0.1471333079
132	0.1470341106
133	0.1469457923
134	0.1468527313
135	0.1467725975
136	0.1466859788
137	0.1466380508
138	0.1465553874
139	0.1465085854
140	0.1464355043
141	0.1463573724
142	0.1463210812
143	0.1462552391
144	0.1461916844
145	0.1460705214
146	0.1460079401
147	0.1459308817
148	0.1458316467
149	0.1457769738
150	0.1456667774
151	0.1456299809
152	0.1455854234
153	0.145509604
154	0.1454405625
155	0.1453700786
156	0.1452451383
157	0.1451589922
158	0.1450797418
159	0.1450169453
160	0.1449387592
161	0.1448539996
162	0.1448072114
163	0.1447350045
164	0.1446546087
165	0.1445555714
166	0.1444362438
167	0.1443626901
168	0.1442542289
169	0.1441684854
170	0.1440897003
171	0.1440269132
172	0.1439392505
173	0.1438814935
174	0.1438121104
175	0.1437348591
176	0.143634114
177	0.1435421149
178	0.1434141542
179	0.1433394486
180	0.1432401318
181	0.1431747795
182	0.1431189527
183	0.1430571486
184	0.1429939386
185	0.1429620255
186	0.1428760108
187	0.142811953
188	0.1427045493
189	0.1426619592
190	0.1426036139
191	0.1424953611
192	0.1424516661
193	0.1423906666
194	0.1422730792
195	0.1422045679
196	0.1421232702
197	0.1420551783
198	0.1419862838
199	0.1419215067
200	0.1418693935
201	0.141770423
202	0.1416846736
203	0.141632363
204	0.141561037
205	0.1414234357
206	0.1413751256
207	0.14132665
208	0.1412742415
209	0.1412376832
210	0.1412053561
211	0.141107599
212	0.1410800006
213	0.1409997828
214	0.1409103623
215	0.1408157834
216	0.140755607
217	0.140688915
218	0.1405756288
219	0.1405486442
220	0.1404522025
221	0.1403661972
222	0.1402908834
223	0.1402392152
224	0.1401697733
225	0.1400890977
226	0.1399792784
227	0.1399168128
228	0.1398330558
229	0.1397482193
230	0.139649845
231	0.1395937099
232	0.1395217693
233	0.1394611487
234	0.1393783579
235	0.1392837464
236	0.1392066707
237	0.1391548446
238	0.1391009192
239	0.1390310915
240	0.1389569034
241	0.1389031199
242	0.1388433404
243	0.138731626
244	0.1386853262
245	0.1386068661
246	0.1385145546
247	0.1384458286
248	0.138376063
249	0.1382881134
250	0.1382378322
251	0.1381940616
252	0.1381703842
253	0.1381191673
254	0.1380565452
255	0.1379699822
256	0.1379047064
257	0.1378532325
258	0.1378214132
259	0.1377430174
260	0.1377034439
261	0.1376470929
262	0.1375984919
263	0.1375469223
264	0.137431624
265	0.1373506871
266	0.137262216
267	0.1371986369
268	0.137133423
269	0.1370730539
270	0.1369974518
271	0.1369398828
272	0.136877232
273	0.1368142722
274	0.1367621468
275	0.1366963975
276	0.1366288516
277	0.1365438665
278	0.1365161353
279	0.1364563728
280	0.1364052329
281	0.1363602878
282	0.1363006623
283	0.1362565611
284	0.1361951585
285	0.1361522949
286	0.1360944015
287	0.1360095472
288	0.1359500143
289	0.1359027139
290	0.1358520253
291	0.1357743812
292	0.1357423007
293	0.1357100585
294	0.1356456166
295	0.1355824971
296	0.1355259865
297	0.1354738457
298	0.135427479
299	0.1353564331
300	0.1352970905
301	0.1352551996
302	0.1351901905
303	0.1351340276
304	0.1351100628
305	0.1350553038
306	0.13501461
307	0.1349469919
308	0.1348949622
309	0.1348316182
310	0.1347838957
311	0.1347291663
312	0.1346906446
313	0.1346325803
314	0.1345266546
315	0.1344720223
316	0.134408906
317	0.1343875568
318	0.1343095958
319	0.1342525754
320	0.1341513928
321	0.1341117058
322	0.1340612447
323	0.1340075064
324	0.1339347597
325	0.133885914
326	0.1338279503
327	0.1337780712
328	0.1337270481
329	0.1336871833
330	0.1336208455
331	0.1335620301
332	0.1335261281
333	0.1334681005
334	0.133394848
335	0.1333341423
336	0.1332624181
337	0.1332111985
338	0.1331444557
339	0.1330990735
340	0.1330538643
341	0.1329869769
342	0.1329641541
343	0.1329250447
344	0.1328509199
345	0.1327983269
346	0.1327105077
347	0.1326729861
348	0.1325774603
349	0.1325282062
350	0.1324966807
351	0.1324326261
352	0.1323697972
353	0.1322358177
354	0.1321767341
355	0.1321297849
356	0.1320897641
357	0.1320513171
358	0.1319805202
359	0.1318855788
360	0.13184238
361	0.1317827035
362	0.1317019438
363	0.1316527884
364	0.1315584628
365	0.1315198568
366	0.1314603003
367	0.1313865108
368	0.1313327816
369	0.1312861432
370	0.1312344439
371	0.1311558588
372	0.1311276303
373	0.1311017601
374	0.1310683284
375	0.1310177563
376	0.1309689489
377	0.1309171872
378	0.1308876353
379	0.1308267881
380	0.1307642805
381	0.1307134615
382	0.1306249655
383	0.1305858274
384	0.1305125809
385	0.1304360727
386	0.1303921063
387	0.1303338246
388	0.1302850209
389	0.1302160004
390	0.1301730101
391	0.1301365246
392	0.130093747
393	0.1300122412
394	0.1299225051
395	0.1298903094
396	0.129827797
397	0.1297874894
398	0.129729115
399	0.1297005271
400	0.1296380007
401	0.1296121913
402	0.129530025
403	0.1294570965
404	0.1294142853
405	0.1293589896
406	0.1293378506
407	0.1292820223
408	0.1292497775
409	0.129215808
410	0.1291834603
411	0.1291112248
412	0.1290514346
413	0.1289928466
414	0.1289476491
415	0.1288647184
416	0.1288425927
417	0.1287970952
418	0.1287667759
419	0.1287181306
420	0.1286673848
421	0.1286045792
422	0.1285623221
423	0.1285382325
424	0.1284991786
425	0.1284517111
426	0.1283794114
427	0.1283613775
428	0.1283378174
429	0.1283047905
430	0.1282353996
431	0.1281908018
432	0.1281617983
433	0.1281331182
434	0.128090936
435	0.1280532651
436	0.1280133393
437	0.1279837115
438	0.1279437041
439	0.1279028177
440	0.1278386188
441	0.1277978988
442	0.1277679384
443	0.127718953
444	0.1276744091
445	0.1276445611
446	0.1276258916
447	0.127588266
448	0.1275331581
449	0.1274992066
450	0.127474661
451	0.1274422952
