iter	Passed	Remaining
0	159	79828
1	167	41808
2	177	29439
3	188	23425
4	198	19614
5	204	16850
6	214	15091
7	220	13579
8	228	12490
9	235	11551
10	243	10829
11	250	10167
12	257	9654
13	264	9174
14	271	8774
15	278	8419
16	285	8106
17	292	7833
18	298	7568
19	306	7361
20	313	7149
21	320	6968
22	327	6796
23	334	6641
24	342	6502
25	348	6354
26	356	6239
27	362	6118
28	374	6077
29	382	5991
30	390	5911
31	410	6009
32	422	5974
33	428	5872
34	437	5813
35	443	5721
36	453	5674
37	459	5587
38	466	5519
39	474	5456
40	480	5379
41	489	5341
42	496	5272
43	507	5258
44	516	5227
45	523	5165
46	530	5114
47	538	5073
48	545	5021
49	554	4987
50	561	4943
51	568	4897
52	574	4848
53	583	4817
54	589	4769
55	597	4734
56	603	4690
57	611	4661
58	618	4620
59	624	4580
60	631	4546
61	638	4509
62	645	4476
63	651	4440
64	658	4408
65	665	4374
66	671	4340
67	678	4312
68	685	4282
69	692	4255
70	699	4225
71	705	4194
72	712	4166
73	719	4139
74	726	4117
75	732	4087
76	738	4058
77	745	4035
78	752	4008
79	759	3987
80	765	3961
81	772	3937
82	779	3913
83	785	3890
84	798	3900
85	812	3909
86	826	3925
87	843	3948
88	855	3952
89	867	3950
90	878	3947
91	897	3980
92	911	3988
93	925	3997
94	942	4017
95	954	4015
96	1010	4198
97	1050	4307
98	1078	4367
99	1101	4405
100	1148	4536
101	1199	4678
102	1219	4698
103	1280	4877
104	1354	5096
105	1377	5120
106	1423	5229
107	1447	5253
108	1503	5394
109	1545	5478
110	1599	5606
111	1621	5618
112	1660	5688
113	1684	5704
114	1696	5680
115	1705	5645
116	1714	5612
117	1725	5584
118	1733	5549
119	1743	5519
120	1751	5486
121	1762	5461
122	1771	5428
123	1781	5401
124	1796	5389
125	1807	5364
126	1815	5330
127	1824	5303
128	1834	5276
129	1843	5247
130	1855	5227
131	1864	5198
132	1874	5171
133	1883	5145
134	1900	5138
135	1909	5111
136	1918	5082
137	1926	5054
138	1935	5027
139	1943	4998
140	1953	4972
141	1965	4955
142	1975	4930
143	1983	4903
144	1997	4889
145	2007	4867
146	2015	4839
147	2024	4815
148	2034	4793
149	2045	4772
150	2054	4749
151	2065	4729
152	2075	4706
153	2090	4697
154	2099	4673
155	2108	4649
156	2119	4629
157	2128	4607
158	2138	4586
159	2147	4562
160	2156	4540
161	2166	4521
162	2177	4502
163	2189	4486
164	2199	4464
165	2207	4441
166	2216	4420
167	2225	4397
168	2234	4376
169	2243	4354
170	2254	4336
171	2266	4322
172	2277	4304
173	2295	4301
174	2306	4283
175	2317	4266
176	2328	4248
177	2338	4231
178	2350	4215
179	2365	4204
180	2374	4185
181	2385	4167
182	2395	4149
183	2404	4128
184	2413	4110
185	2423	4091
186	2437	4079
187	2448	4062
188	2459	4046
189	2479	4044
190	2489	4027
191	2502	4014
192	2515	4001
193	2527	3986
194	2537	3968
195	2547	3950
196	2558	3935
197	2569	3918
198	2581	3905
199	2591	3887
200	2601	3869
201	2611	3852
202	2624	3839
203	2640	3831
204	2650	3814
205	2662	3799
